Track_num,Section_id,Symmetry_id,radius,Curve_direction,Curve_degree,Cant,length,Track_segment,length,Track_id,Start_location,End_location
1,1661,,,,0,,202.227,22,202.227,NH_1,16641.662,16843.889
1,1662,,1397,1,1.25,7,344.334,23,344.334,NH_1,16843.889,17188.223
1,1663,,,,0,,418.204,24,418.204,NH_1,17188.223,17606.427
1,1664,,,,0,,237.098,27,237.098,NH_1,18740.252,18977.35
1,1665,,2328,1,0.75,7,106.592,28,106.592,NH_1,18977.35,19083.942
1,1666,,,,0,,28.15,29,28.15,NH_1,19083.942,19112.092
1,1667,,2031,1,0.86,7,120.971,30,120.971,NH_1,19112.092,19233.063
1,1668,,,,0,,817.768,31,817.768,NH_1,19233.063,20050.831
1,1669,,852,1,2.05,7,422.218,32,422.218,NH_1,20050.831,20473.049
1,1670,,,,0,,734.495,33,734.495,NH_1,20473.049,21207.544
1,1671,,4720,1,0.37,7,223.009,34,223.009,NH_1,21207.544,21430.553
1,1672,,,,0,,1257.957,35,1257.957,NH_1,21430.553,22688.51
1,1673,,,,0,,194.408,36,194.408,NH_1,22688.51,22882.918
1,1674,,,,0,,2108.511,38,2108.511,NH_1,23625.669,25734.18
1,1675,,1746,1,1,7,567.804,39,567.804,NH_1,25734.18,26301.984
1,1676,,355,1,4.92,7,396.142,40,396.142,NH_1,26301.984,26698.126
1,1677,,,,0,,145.211,41,145.211,NH_1,26698.126,26843.337
1,1678,,582,1,3,7,344.971,42,344.971,NH_1,26843.337,27188.308
1,1679,,,,0,,736.756,43,736.756,NH_1,27188.308,27925.064
1,1680,,390,1,4.483,7,427.963,44,427.963,NH_1,27925.064,28353.027
1,1681,,,,0,,2288.264,47,2288.264,NH_1,28526.213,30814.477
1,1682,,1746,1,1,7,201.121,49,201.121,NH_1,30930.257,31131.378
1,1683,,,,0,,348.086,50,348.086,NH_1,31131.378,31479.464
1,1684,,699,1,2.5,7,471.62,51,471.62,NH_1,31479.464,31951.084
1,1685,,,,0,,316.333,52,316.333,NH_1,31951.084,32267.417
1,1686,,1746,1,1,7,378.397,54,378.397,NH_1,33506.577,33884.974
1,1687,,,,0,,567.25,55,567.25,NH_1,33884.974,34452.224
1,1688,,1632,1,1.07,7,1518.747,56,1518.747,NH_1,34452.224,35970.971
1,1689,,,,0,,841.119,57,841.119,NH_1,35970.971,36812.09
1,1690,,776,1,2.25,7,462.537,58,462.537,NH_1,36812.09,37274.627
1,1691,,,,0,,268.09,59,268.09,NH_1,37274.627,37542.717
1,1692,,1746,1,1,7,485.48,61,485.48,NH_1,39307.942,39793.422
1,1693,,,,0,,1336.332,62,1336.332,NH_1,39793.422,41129.754
1,1694,,1204,1,1.45,7,804.034,63,804.034,NH_1,41129.754,41933.788
1,1695,,,,0,,775.33,64,775.33,NH_1,41933.788,42709.118
