Section_id,Symmetry_id,Alternative_id,Start_location,End_location,Start_location_mile,End_location_mile,Track_id,Curve_degree,Curve_direction,Cant_to_add,Cant,orig_cant,Max_speed,Max_speed_freight,Curve_radius,Max_speed_calc,Notes,,,,,
435,435,,244579,244909,,,2,3.234857724,1,,6.25,,,,1771.2,,,,,,,
436,436,,244909,245537,,,2,0,,,0,,,,,,,,,,,
437,437,,245537,246470,,,2,1.293943089,1,,6.25,,,,4428,,,,,,,
438,438,,246470,248170,,,2,0,,,0,,,,,,,,,,,
439,439,,248170,250570,,,2,1.838761232,0,,6.25,,,,3116,,,,,,,
440,440,,250570,251894,,,2,0,,,0,,,,,,,,,,,
441,441,,251894,252224,,,2,4.852286585,1,,6.25,,,,1180.8,,,,,,,
442,442,,252224,252534,,,2,4.852286585,0,,6.25,,,,1180.8,,,,,,,
443,443,,252534,252844,,,2,0,,,0,,,,,,,,,,,
444,444,,252844,253102,,,2,4.479033771,0,,6.25,,,,1279.2,,,,,,,
445,445,,253102,253642,,,2,0,,,0,,,,,,,,,,,
446,446,,253642,253942,,,2,2.495461672,0,,6.25,,,,2296,,,,,,,
447,447,,253942,254232,,,2,3.797441676,1,,6.25,,,,1508.8,,,,,,,
448,448,,254232,254487,,,2,0,,,0,,,,,,,,,,,
449,449,,0,3500,,,5,0.335927533,1,,6.25,,,,17056,,,,,,,
450,450,,3500,17200,,,5,0,,,0,,,,,,,,,,,
451,451,,17200,20900,,,5,0.426054432,0,,6.25,,,,13448,,,,,,,
452,452,,20900,23700,,,5,0.317604213,1,,6.25,,,,18040,,,,,,,
453,453,,23700,28050,,,5,0.342514347,0,,6.25,,,,16728,,,,,,,
454,454,,28050,31930,,,5,0.468945818,1,,6.25,,,,12218,,,,,,,
455,455,,31930,32720,,,5,0.776365854,0,,6.25,,,,7380,,,,,,,
456,456,,32720,36260,,,5,0.388182927,1,,6.25,,,,14760,,,,,,,
457,457,,36260,37320,,,5,0,,,0,,,,,,,,,,,
