Track_num,Section_id,Curve_degree,Curve_direction,Cant,Max_speed,length,Section,Track_id,Start_loc,End_loc,Track_segment
2,359,0.39,1,7,,4330.65,CNBY,CNBY_2,66986.085,71316.735,31
1,360,0.39,1,7,,4330.649,CNBY,CNBY_1,66992.935,71323.584,31
2,361,0.41,1,7,,4434.199,CNBY,CNBY_2,61628.268,66062.467,29
1,362,0.41,1,7,,4434.198,CNBY,CNBY_1,61631.053,66065.251,29
1,363,0,,,,4881.854,CNBY,CNBY_1,56749.199,61631.053,28
2,364,0,,,,4885.651,CNBY,CNBY_2,56742.617,61628.268,28
2,365,0.85,1,7,,358.158,CNBY,CNBY_2,56384.459,56742.617,27
1,366,0.85,1,7,,358.158,CNBY,CNBY_1,56391.041,56749.199,27
1,367,0,,,,869.643,CNBY,CNBY_1,55521.398,56391.041,26
2,368,0,,,,868.94,CNBY,CNBY_2,55515.519,56384.459,26
1,369,0,,,,3696.299,CNBY,CNBY_1,47807.529,51503.828,24
2,370,0,,,,3692.738,CNBY,CNBY_2,47805.21,51497.948,24
1,371,0.52,1,7,,4017.57,CNBY,CNBY_1,51503.828,55521.398,25
2,372,0.52,1,7,,4017.571,CNBY,CNBY_2,51497.948,55515.519,25
1,373,0.35,1,7,,261.476,CNBY,CNBY_1,47546.053,47807.529,23
2,374,0.35,1,7,,261.476,CNBY,CNBY_2,47543.734,47805.21,23
1,375,0,,,,966.387,CNBY,CNBY_1,46579.666,47546.053,22
2,376,0,,,,966.182,CNBY,CNBY_2,46577.552,47543.734,22
2,377,0.52,1,7,,1293.766,CNBY,CNBY_2,45283.786,46577.552,21
1,378,0.52,1,7,,1293.765,CNBY,CNBY_1,45285.901,46579.666,21
1,379,0,,,,1365.546,CNBY,CNBY_1,43920.355,45285.901,20
2,380,0,,,,1366.738,CNBY,CNBY_2,43917.048,45283.786,20
2,381,0.52,1,7,,1233.47,CNBY,CNBY_2,42683.578,43917.048,19
1,382,0.52,1,7,,1233.469,CNBY,CNBY_1,42686.886,43920.355,19
1,383,0.41,1,7,,2635.593,CNBY,CNBY_1,39911.515,42547.108,17
2,384,0.41,1,7,,2635.594,CNBY,CNBY_2,39908.33,42543.924,17
1,385,0,,,,139.778,CNBY,CNBY_1,42547.108,42686.886,18
2,386,0,,,,139.654,CNBY,CNBY_2,42543.924,42683.578,18
2,387,0,,,,4000.204,CNBY,CNBY_2,35908.126,39908.33,16
1,388,0,,,,3998.588,CNBY,CNBY_1,35912.927,39911.515,16
2,389,0,,,,1469.85,CNBY,CNBY_2,32692.254,34162.104,14
1,390,0,,,,1472.872,CNBY,CNBY_1,32694.034,34166.906,14
